PERMNO,date,TICKER,PRC
23712,2020-12-31,PEG,58.30000
23712,2021-01-29,PEG,56.43000
23712,2021-02-26,PEG,53.83000
23712,2021-03-31,PEG,60.21000
23712,2021-04-30,PEG,63.16000
23712,2021-05-28,PEG,62.12000
23712,2021-06-30,PEG,59.74000
23712,2021-07-30,PEG,62.23000
23712,2021-08-31,PEG,63.94000
23712,2021-09-30,PEG,60.90000
23712,2021-10-29,PEG,63.80000
23712,2021-11-30,PEG,62.49000
23712,2021-12-31,PEG,66.73000
23712,2022-01-31,PEG,66.53000
23712,2022-02-28,PEG,64.83000
23712,2022-03-31,PEG,70.00000
23712,2022-04-29,PEG,69.66000
23712,2022-05-31,PEG,68.54000
23712,2022-06-30,PEG,63.28000
23712,2022-07-29,PEG,65.67000
23712,2022-08-31,PEG,64.36000
23712,2022-09-30,PEG,56.23000
23712,2022-10-31,PEG,56.07000
23712,2022-11-30,PEG,60.55000
23712,2022-12-30,PEG,61.27000
